words,weights
six,7.2136075980886085
loneli,7.2136075980886085
least,7.2136075980886085
wouldv,7.2136075980886085
letter,7.2136075980886085
wonderful,7.2136075980886085
women,7.2136075980886085
lol,7.2136075980886085
within,7.2136075980886085
lead,7.2136075980886085
win,7.2136075980886085
whoever,7.2136075980886085
massiv,7.2136075980886085
mateship,7.2136075980886085
whatev,7.2136075980886085
weve,7.2136075980886085
leader,7.2136075980886085
lazi,7.2136075980886085
weight,7.2136075980886085
jump,7.2136075980886085
youryou,7.2136075980886085
jail,7.2136075980886085
jealousi,7.2136075980886085
jeeeppee,7.2136075980886085
judgment,7.2136075980886085
youin,7.2136075980886085
laughter,7.2136075980886085
keyboard,7.2136075980886085
kick,7.2136075980886085
kid,7.2136075980886085
youandi,7.2136075980886085
kindest,7.2136075980886085
xox,7.2136075980886085
men,7.2136075980886085
weekend,7.2136075980886085
offend,7.2136075980886085
neglect,7.2136075980886085
urg,7.2136075980886085
nervou,7.2136075980886085
news,7.2136075980886085
nicer,7.2136075980886085
untold,7.2136075980886085
unfortun,7.2136075980886085
useless,7.2136075980886085
notlik,7.2136075980886085
nowaday,7.2136075980886085
nowher,7.2136075980886085
nowtireis,7.2136075980886085
numb,7.2136075980886085
unfair,7.2136075980886085
neg,7.2136075980886085
near,7.2136075980886085
messi,7.2136075980886085
motiv,7.2136075980886085
met,7.2136075980886085
middl,7.2136075980886085
mightv,7.2136075980886085
weakest,7.2136075980886085
water,7.2136075980886085
mix,7.2136075980886085
movi,7.2136075980886085
ncourag,7.2136075980886085
volum,7.2136075980886085
voicemail,7.2136075980886085
visibl,7.2136075980886085
valuabl,7.2136075980886085
usual,7.2136075980886085
nah,7.2136075980886085
itll,7.2136075980886085
youve,7.2136075980886085
վou,7.2136075980886085
friendbe,7.2136075980886085
fit,7.2136075980886085
flaw,7.2136075980886085
foot,7.2136075980886085
forgot,7.2136075980886085
foryear,7.2136075980886085
fresh,7.2136075980886085
friendli,7.2136075980886085
film,7.2136075980886085
full,7.2136075980886085
fun,7.2136075980886085
gay,7.2136075980886085
girlfriend,7.2136075980886085
god,7.2136075980886085
gorgeou,7.2136075980886085
final,7.2136075980886085
fell,7.2136075980886085
islamophobia,7.2136075980886085
evil,7.2136075980886085
energi,7.2136075980886085
entertain,7.2136075980886085
eserv,7.2136075980886085
espect,7.2136075980886085
everyths,7.2136075980886085
everytim,7.2136075980886085
ex,7.2136075980886085
favorit,7.2136075980886085
excit,7.2136075980886085
exhaust,7.2136075980886085
explan,7.2136075980886085
famili,7.2136075980886085
fat,7.2136075980886085
fault,7.2136075980886085
grammar,7.2136075980886085
grate,7.2136075980886085
sarcast,7.2136075980886085
impress,7.2136075980886085
hurtzone,7.2136075980886085
idiot,7.2136075980886085
ight,7.2136075980886085
illridewithy,7.2136075980886085
impact,7.2136075980886085
imperfect,7.2136075980886085
inadequ,7.2136075980886085
great,7.2136075980886085
indiffer,7.2136075980886085
insist,7.2136075980886085
instruct,7.2136075980886085
intend,7.2136075980886085
interact,7.2136075980886085
ipromis,7.2136075980886085
humor,7.2136075980886085
huge,7.2136075980886085
howev,7.2136075980886085
housnot,7.2136075980886085
hous,7.2136075980886085
hostag,7.2136075980886085
hill,7.2136075980886085
hi,7.2136075980886085
height,7.2136075980886085
healthi,7.2136075980886085
headphon,7.2136075980886085
hater,7.2136075980886085
hasnt,7.2136075980886085
harden,7.2136075980886085
hair,7.2136075980886085
guilt,7.2136075980886085
guess,7.2136075980886085
nvolv,7.2136075980886085
often,7.2136075980886085
emotionless,7.2136075980886085
reaction,7.2136075980886085
random,7.2136075980886085
sister,7.2136075980886085
rate,7.2136075980886085
sink,7.2136075980886085
reach,7.2136075980886085
react,7.2136075980886085
simpl,7.2136075980886085
size,7.2136075980886085
signal,7.2136075980886085
side,7.2136075980886085
shoulder,7.2136075980886085
shortcut,7.2136075980886085
shock,7.2136075980886085
shell,7.2136075980886085
race,7.2136075980886085
skinnier,7.2136075980886085
reay,7.2136075980886085
protect,7.2136075980886085
somewher,7.2136075980886085
prettiest,7.2136075980886085
somehow,7.2136075980886085
someday,7.2136075980886085
societi,7.2136075980886085
sober,7.2136075980886085
sneak,7.2136075980886085
sleev,7.2136075980886085
smoke,7.2136075980886085
punch,7.2136075980886085
smart,7.2136075980886085
slowli,7.2136075980886085
queen,7.2136075980886085
sli,7.2136075980886085
reassur,7.2136075980886085
shed,7.2136075980886085
unbeliev,7.2136075980886085
secretli,7.2136075980886085
rewind,7.2136075980886085
rhetor,7.2136075980886085
selfesteem,7.2136075980886085
rip,7.2136075980886085
secur,7.2136075980886085
rude,7.2136075980886085
rumor,7.2136075980886085
return,7.2136075980886085
scroll,7.2136075980886085
screamno,7.2136075980886085
scissor,7.2136075980886085
safe,7.2136075980886085
schedul,7.2136075980886085
saidforevyou,7.2136075980886085
reveng,7.2136075980886085
restlessmental,7.2136075980886085
shame,7.2136075980886085
repeat,7.2136075980886085
shall,7.2136075980886085
relev,7.2136075980886085
shake,7.2136075980886085
shadow,7.2136075980886085
sex,7.2136075980886085
seven,7.2136075980886085
repeatedli,7.2136075980886085
sell,7.2136075980886085
set,7.2136075980886085
serv,7.2136075980886085
sentenc,7.2136075980886085
reread,7.2136075980886085
resist,7.2136075980886085
sent,7.2136075980886085
sooner,7.2136075980886085
spam,7.2136075980886085
press,7.2136075980886085
pack,7.2136075980886085
overdr,7.2136075980886085
overlook,7.2136075980886085
theyd,7.2136075980886085
thay,7.2136075980886085
terroist,7.2136075980886085
terrifi,7.2136075980886085
temporari,7.2136075980886085
outunabl,7.2136075980886085
paper,7.2136075980886085
teach,7.2136075980886085
paranoid,7.2136075980886085
parent,7.2136075980886085
tan,7.2136075980886085
parti,7.2136075980886085
thinner,7.2136075980886085
outsid,7.2136075980886085
present,7.2136075980886085
opportun,7.2136075980886085
oliv,7.2136075980886085
tummi,7.2136075980886085
trustworthi,7.2136075980886085
troubl,7.2136075980886085
trip,7.2136075980886085
touch,7.2136075980886085
option,7.2136075980886085
third,7.2136075980886085
toler,7.2136075980886085
order,7.2136075980886085
tired,7.2136075980886085
ounc,7.2136075980886085
tight,7.2136075980886085
thousand,7.2136075980886085
particip,7.2136075980886085
pass,7.2136075980886085
taller,7.2136075980886085
stick,7.2136075980886085
pill,7.2136075980886085
success,7.2136075980886085
stuck,7.2136075980886085
stranger,7.2136075980886085
straight,7.2136075980886085
posit,7.2136075980886085
patienc,7.2136075980886085
spot,7.2136075980886085
spiritu,7.2136075980886085
pour,7.2136075980886085
power,7.2136075980886085
spend,7.2136075980886085
speaka,7.2136075980886085
suffer,7.2136075980886085
pick,7.2136075980886085
pic,7.2136075980886085
sunday,7.2136075980886085
photo,7.2136075980886085
super,7.2136075980886085
philliphugh,7.2136075980886085
swallow,7.2136075980886085
permiss,7.2136075980886085
perman,7.2136075980886085
swear,7.2136075980886085
sweetheart,7.2136075980886085
peoplnot,7.2136075980886085
switch,7.2136075980886085
pay,7.2136075980886085
paus,7.2136075980886085
tale,7.2136075980886085
encourag,7.2136075980886085
save,7.2136075980886085
difficult,7.2136075980886085
check,7.2136075980886085
distant,7.2136075980886085
beddread,7.2136075980886085
damag,7.2136075980886085
becam,7.2136075980886085
daili,7.2136075980886085
battl,7.2136075980886085
cycl,7.2136075980886085
bathroom,7.2136075980886085
bare,7.2136075980886085
bail,7.2136075980886085
badli,7.2136075980886085
crush,7.2136075980886085
babi,7.2136075980886085
awkward,7.2136075980886085
crumbl,7.2136075980886085
butterfli,7.2136075980886085
automat,7.2136075980886085
australia,7.2136075980886085
attract,7.2136075980886085
crime,7.2136075980886085
door,7.2136075980886085
choke,7.2136075980886085
asham,7.2136075980886085
crazi,7.2136075980886085
arriv,7.2136075980886085
arm,7.2136075980886085
argument,7.2136075980886085
crap,7.2136075980886085
darkest,7.2136075980886085
date,7.2136075980886085
cover,7.2136075980886085
challeng,7.2136075980886085
burn,7.2136075980886085
button,7.2136075980886085
demand,7.2136075980886085
build,7.2136075980886085
brush,7.2136075980886085
brother,7.2136075980886085
calmer,7.2136075980886085
brink,7.2136075980886085
brightest,7.2136075980886085
bridg,7.2136075980886085
bravest,7.2136075980886085
bottl,7.2136075980886085
deciev,7.2136075980886085
book,7.2136075980886085
blue,7.2136075980886085
blow,7.2136075980886085
block,7.2136075980886085
blink,7.2136075980886085
blind,7.2136075980886085
blanket,7.2136075980886085
billion,7.2136075980886085
diffrenc,7.2136075980886085
case,7.2136075980886085
bewar,7.2136075980886085
discuss,7.2136075980886085
betweeni,7.2136075980886085
certainli,7.2136075980886085
disgrac,7.2136075980886085
cowardli,7.2136075980886085
ave,7.2136075980886085
descript,7.2136075980886085
commit,7.2136075980886085
dure,7.2136075980886085
compani,7.2136075980886085
cough,7.2136075980886085
correct,7.2136075980886085
cool,7.2136075980886085
convinc,7.2136075980886085
angel,7.2136075980886085
color,7.2136075980886085
action,7.2136075980886085
comfort,7.2136075980886085
accus,7.2136075980886085
achanc,7.2136075980886085
achiev,7.2136075980886085
acn,7.2136075980886085
earn,7.2136075980886085
eed,7.2136075980886085
competit,7.2136075980886085
drunk,7.2136075980886085
clingi,7.2136075980886085
absent,7.2136075980886085
anywher,7.2136075980886085
age,7.2136075980886085
drama,7.2136075980886085
chose,7.2136075980886085
abov,7.2136075980886085
ago,7.2136075980886085
conclus,7.2136075980886085
constant,7.2136075980886085
alcohol,7.2136075980886085
electr,7.2136075980886085
drink,7.2136075980886085
advic,7.2136075980886085
couldnt,7.2136075980886085
anxietino,7.2136075980886085
dramathere,7.2136075980886085
thosesecond,6.953243334287785
disord,6.953243334287785
disappear,6.953243334287785
though,6.953243334287785
disgust,6.953243334287785
thursday,6.953243334287785
wave,6.953243334287785
theyll,6.953243334287785
destroy,6.953243334287785
woke,6.953243334287785
desper,6.953243334287785
